date,o0900,p10,c1330,hi_am,lo_am,pm_drift,full,sox,yr,pnl
2009-04-14,5857.64,5868.68,5892.68,5863.75,5765.81,24.0,35.039999999999964,-0.013324947918713859,2009,-35.039999999999964
2009-04-16,5875.19,6018.08,5997.17,6025.85,5875.19,-20.909999999999854,121.98000000000047,-0.015080000000000093,2009,-121.98000000000047
2009-04-17,5997.17,6056.71,5755.38,6071.06,5997.17,-301.3299999999999,-241.78999999999996,0.03358648418145638,2009,301.3299999999999
2009-04-20,5755.38,5695.08,5781.66,5797.63,5648.1,86.57999999999993,26.279999999999745,0.0012180746561885059,2009,26.279999999999745
2009-04-22,5881.41,5860.93,5886.11,5925.92,5859.94,25.17999999999938,4.699999999999818,0.0013314471165848385,2009,4.699999999999818
2009-04-23,5886.11,5853.64,5875.24,5900.45,5789.27,21.599999999999454,-10.86999999999989,0.04329759827142032,2009,-21.599999999999454
2009-04-27,5880.77,5855.41,5705.05,5946.97,5838.55,-150.35999999999967,-175.72000000000025,0.016144539700344573,2009,-175.72000000000025
2009-04-28,5705.05,5660.96,5596.73,5773.53,5609.37,-64.23000000000047,-108.32000000000062,-0.011235955056179803,2009,108.32000000000062
2009-04-29,5596.73,5591.75,5614.06,5649.19,5571.93,22.3100000000004,17.330000000000837,-0.016706539074960114,2009,-17.330000000000837
2009-04-30,5614.06,5980.41,5992.57,5981.02,5614.06,12.159999999999854,378.5099999999993,0.020031628887717368,2009,-12.159999999999854
2009-05-05,6330.4,6370.97,6379.94,6562.77,6330.4,8.969999999999345,49.539999999999964,0.05158991440412097,2009,-8.969999999999345
2009-05-06,6379.94,6450.1,6566.7,6515.02,6372.94,116.59999999999945,186.76000000000022,-0.010349526720931146,2009,-186.76000000000022
2009-05-07,6566.7,6587.03,6572.87,6628.54,6556.24,-14.159999999999854,6.170000000000073,0.0034611090435430203,2009,6.170000000000073
2009-05-11,6583.87,6609.4,6647.5,6641.51,6571.41,38.100000000000364,63.63000000000011,-0.01924965625613828,2009,-63.63000000000011
2009-05-15,6364.17,6474.69,6489.09,6494.92,6364.17,14.400000000000546,124.92000000000007,0.030313250980226858,2009,-14.400000000000546
2009-05-19,6577.81,6723.47,6655.59,6784.26,6577.81,-67.88000000000011,77.77999999999975,0.03543761331794948,2009,67.88000000000011
2009-05-20,6655.59,6621.85,6703.62,6716.46,6590.79,81.76999999999953,48.029999999999745,0.02009710283349242,2009,-81.76999999999953
2009-05-21,6703.62,6735.5,6718.81,6743.95,6688.91,-16.6899999999996,15.19000000000051,0.002574805914251188,2009,15.19000000000051
2009-05-25,6737.29,6779.15,6734.46,6878.66,6737.29,-44.6899999999996,-2.8299999999999272,0.00047934808660232697,2009,-2.8299999999999272
2009-05-26,6734.46,6765.36,6683.11,6830.24,6734.46,-82.25,-51.350000000000364,0.00047934808660232697,2009,-51.350000000000364
2009-05-27,6683.11,6807.77,6890.44,6819.03,6683.11,82.66999999999916,207.32999999999993,0.035774175517048645,2009,-82.66999999999916
2009-06-01,6890.44,6924.88,6954.1,7033.33,6890.44,29.220000000000255,63.660000000000764,0.0072767774271393915,2009,63.660000000000764
2009-06-02,6954.1,7037.28,6949.08,7084.83,6954.1,-88.19999999999982,-5.020000000000437,0.053075817330728636,2009,88.19999999999982
2009-06-05,6786.06,6795.32,6767.1,6829.66,6774.56,-28.219999999999345,-18.960000000000036,0.021504182396920646,2009,28.219999999999345
2009-06-06,6767.1,6796.85,6856.74,6820.49,6767.1,59.88999999999942,89.63999999999942,-0.01902242834885326,2009,-89.63999999999942
2009-06-08,6856.74,6772.75,6628.02,6907.32,6758.07,-144.72999999999956,-228.71999999999935,-0.01902242834885326,2009,228.71999999999935
2009-06-10,6414.39,6460.18,6462.27,6500.7,6389.94,2.0900000000001455,47.88000000000011,0.04453231826748971,2009,-2.0900000000001455
2009-06-11,6462.27,6391.38,6567.37,6495.93,6353.78,175.98999999999978,105.09999999999945,0.0019813189923578722,2009,105.09999999999945
2009-06-12,6567.37,6553.85,6448.23,6586.2,6519.65,-105.6200000000008,-119.14000000000033,-0.012217514124293727,2009,119.14000000000033
2009-06-15,6448.23,6288.48,6225.56,6448.23,6289.37,-62.91999999999916,-222.66999999999916,-0.017695002502323587,2009,222.66999999999916
2009-06-16,6225.56,6247.43,6220.81,6253.57,6199.46,-26.61999999999989,-4.75,-0.015611921831216624,2009,4.75
2009-06-18,6195.91,6222.14,6144.53,6279.36,6195.91,-77.61000000000058,-51.38000000000011,0.009290508513139617,2009,-51.38000000000011
2009-06-19,6144.53,6184.44,6231.15,6214.81,6144.53,46.710000000000036,86.61999999999989,-0.018372407574391514,2009,-86.61999999999989
2009-06-22,6231.15,6206.66,6341.21,6263.97,6193.09,134.55000000000018,110.0600000000004,0.012247866192061974,2009,110.0600000000004
2009-06-25,6380.08,6438.21,6457.61,6479.28,6380.08,19.399999999999636,77.52999999999975,0.017424899471733868,2009,77.52999999999975
2009-06-26,6457.61,6488.45,6463.56,6527.86,6457.61,-24.889999999999418,5.950000000000728,0.020071295722256632,2009,24.889999999999418
2009-07-01,6432.16,6489.14,6578.97,6497.26,6432.16,89.82999999999993,146.8100000000004,0.0008747908108928115,2009,146.8100000000004
2009-07-02,6578.97,6645.9,6667.53,6667.24,6578.97,21.63000000000011,88.55999999999949,0.01470644119323583,2009,88.55999999999949
2009-07-03,6667.53,6649.26,6665.4,6667.53,6607.62,16.139999999999418,-2.130000000000109,-0.01202157141787119,2009,2.130000000000109
2009-07-06,6665.4,6643.16,6649.91,6693.44,6619.89,6.75,-15.489999999999782,-0.01202157141787119,2009,15.489999999999782
2009-07-07,6649.91,6677.43,6715.22,6694.36,6649.91,37.789999999999964,65.3100000000004,-0.013532466547894306,2009,-65.3100000000004
2009-07-10,6748.18,6782.06,6769.86,6807.46,6748.18,-12.200000000000728,21.67999999999938,0.027934964533354645,2009,12.200000000000728
2009-07-13,6769.86,6627.25,6530.82,6797.72,6629.79,-96.43000000000029,-239.03999999999996,0.004225625121147658,2009,-239.03999999999996
2009-07-14,6530.82,6607.97,6639.41,6610.69,6530.82,31.4399999999996,108.59000000000015,0.02412754786905502,2009,-31.4399999999996
2009-07-15,6639.41,6720.4,6738.6,6732.24,6639.41,18.200000000000728,99.19000000000051,0.01628406649327152,2009,99.19000000000051
2009-07-16,6738.6,6861.5,6780.3,6878.68,6738.6,-81.19999999999982,41.69999999999982,0.044323281777382206,2009,81.19999999999982
2009-07-17,6780.3,6826.93,6850.99,6854.61,6780.3,24.05999999999949,70.6899999999996,0.01932092626793569,2009,70.6899999999996
2009-07-20,6850.99,6918.71,6938.86,6925.86,6850.99,20.149999999999636,87.86999999999989,0.012160278745644737,2009,87.86999999999989
2009-07-21,6938.86,6911.06,6953.34,7002.32,6914.45,42.279999999999745,14.480000000000473,0.012530551826224645,2009,14.480000000000473
2009-07-23,6985.32,6997.32,6980.88,7013.47,6926.27,-16.4399999999996,-4.4399999999996,0.026533319726502524,2009,16.4399999999996
2009-07-24,6980.88,7015.8,6973.28,7046.46,6980.88,-42.52000000000044,-7.600000000000364,0.00977565695728555,2009,-7.600000000000364
2009-07-27,6973.28,6991.36,7028.43,7016.91,6954.3,37.07000000000062,55.150000000000546,-0.012601732738251603,2009,-55.150000000000546
2009-07-28,7028.43,7113.43,7142.63,7118.5,7028.43,29.199999999999818,114.19999999999982,0.0058495081095453205,2009,114.19999999999982
2009-07-29,7142.63,7135.61,7083.63,7185.52,7114.36,-51.97999999999956,-59.0,0.002015596087761029,2009,-59.0
2009-07-31,7027.11,7103.77,7077.71,7123.67,7027.11,-26.0600000000004,50.600000000000364,0.0013304506901714586,2009,50.600000000000364
2009-08-03,7077.71,7058.16,7056.71,7084.59,7015.3,-1.449999999999818,-21.0,0.002291978076731427,2009,-21.0
2009-08-04,7056.71,7109.94,6955.87,7138.94,7056.71,-154.0699999999997,-100.84000000000015,0.017498508649830935,2009,-100.84000000000015
2009-08-05,6955.87,6970.52,6848.24,6986.02,6913.44,-122.28000000000065,-107.63000000000011,0.0006514233600418695,2009,-107.63000000000011
2009-08-06,6848.24,6855.78,6868.65,6888.09,6819.24,12.86999999999989,20.409999999999854,-0.010936787969533235,2009,-20.409999999999854
2009-08-11,6882.87,6846.02,6909.02,6904.46,6838.72,63.0,26.150000000000546,-0.011992094596857905,2009,-26.150000000000546
2009-08-12,6909.02,6914.14,6898.9,6933.51,6864.91,-15.240000000000691,-10.1200000000008,-0.014273605695880542,2009,10.1200000000008
2009-08-13,6898.9,6976.39,7034.96,6992.72,6898.9,58.56999999999971,136.0600000000004,0.017679025933823977,2009,136.0600000000004
2009-08-14,7034.96,7105.5,7069.51,7132.33,7034.96,-35.98999999999978,34.55000000000018,0.021900770582668816,2009,35.98999999999978
2009-08-19,6789.77,6803.53,6788.58,6854.59,6789.77,-14.949999999999818,-1.1900000000005093,0.02011052042529382,2009,14.949999999999818
2009-08-20,6788.58,6699.13,6733.23,6788.58,6647.32,34.099999999999454,-55.350000000000364,0.005999931429355065,2009,-55.350000000000364
2009-08-21,6733.23,6776.93,6654.8,6824.65,6733.23,-122.13000000000011,-78.42999999999938,0.010190171085815658,2009,-78.42999999999938
2009-08-24,6654.8,6779.33,6838.25,6800.03,6654.8,58.92000000000007,183.44999999999982,0.016497419115414358,2009,183.44999999999982
2009-08-26,6809.41,6733.46,6719.21,6827.89,6702.78,-14.25,-90.19999999999982,0.005285164743268123,2009,-90.19999999999982
2009-08-27,6719.21,6731.37,6690.75,6746.79,6658.73,-40.61999999999989,-28.460000000000036,0.008185538881309906,2009,-28.460000000000036
2009-08-28,6690.75,6813.31,6809.86,6824.65,6690.75,-3.4500000000007276,119.10999999999967,0.002541337997953752,2009,119.10999999999967
2009-08-31,6809.86,6802.22,6825.95,6848.96,6793.92,23.729999999999563,16.090000000000146,0.024427179352120243,2009,-23.729999999999563
2009-09-01,6825.95,6914.68,7019.75,6910.98,6807.62,105.06999999999971,193.80000000000018,-0.016067870685776753,2009,-193.80000000000018
2009-09-04,7104.65,7142.37,7153.13,7178.54,7104.65,10.760000000000218,48.48000000000047,0.014290517821116344,2009,48.48000000000047
2009-09-07,7153.13,7228.89,7224.59,7240.34,7153.13,-4.300000000000182,71.46000000000004,0.02681916127962891,2009,4.300000000000182
2009-09-08,7224.59,7255.26,7313.99,7265.95,7202.69,58.72999999999956,89.39999999999964,0.02681916127962891,2009,-58.72999999999956
