date,yr,sox,pnl
2025-08-13,2025,0.0299310274285453,-13.0
2025-08-14,2025,0.0089930120939916,-80.0
2025-08-19,2025,0.0040971780403773,-40.0
2025-08-20,2025,-0.0181430705761983,431.0
2025-08-25,2025,0.0269842912875717,-137.0
2025-08-26,2025,0.0003197519836788,108.0
2025-08-27,2025,0.0089675659711967,103.0
2025-08-28,2025,0.0028736621716551,-133.0
2025-08-29,2025,0.0048827303458944,-136.0
2025-09-03,2025,-0.0111978606229735,-39.0
2025-09-05,2025,0.0134172027706953,49.0
2025-09-08,2025,0.0165035833630329,-30.0
2025-09-09,2025,0.008367757836637,83.0
2025-09-10,2025,0.0017591542289414,184.0
2025-09-11,2025,0.0237567076701552,144.0
2025-09-12,2025,0.0062603955294397,46.0
2025-09-15,2025,0.0010591471113639,-59.0
2025-09-16,2025,0.0096788597973254,205.0
2025-09-17,2025,0.0031997597292334,-103.0
2025-09-19,2025,0.035962390804294,21.0
2025-09-23,2025,0.0157037987885595,210.0
2025-09-30,2025,0.0015955464270702,159.0
2025-10-01,2025,0.0086633486985974,-54.0
2025-10-02,2025,0.0204809555058069,56.0
2025-10-03,2025,0.0193991643436899,247.0
2025-10-07,2025,0.028907581405098,-47.0
2025-10-09,2025,0.0339786216833766,67.0
2025-10-14,2025,0.0492961483238654,656.0
2025-10-16,2025,0.0299421794643497,-120.0
2025-10-17,2025,0.004870652838899,-1.0
2025-10-21,2025,0.0157937910704959,-72.0
2025-10-27,2025,0.0189196175477077,-14.0
2025-10-28,2025,0.0273816314888761,121.0
2025-10-29,2025,0.0037290840655248,199.0
2025-10-30,2025,0.0185163821752372,-28.0
2025-10-31,2025,-0.0152744363005651,9.0
2025-11-03,2025,0.0017544345898004,-43.0
2025-11-04,2025,0.0058530903376283,-289.0
2025-11-06,2025,0.0301881061440749,-14.0
2025-11-10,2025,-0.0101205547141154,-252.0
2025-11-11,2025,0.0301682941433869,259.0
2025-11-13,2025,0.0146754158488187,-67.0
2025-11-18,2025,-0.0154833215879727,350.0
2025-11-20,2025,0.0181650824374182,184.0
2025-11-24,2025,0.0085578402001238,-98.0
2025-11-25,2025,0.0463237715857349,-46.0
2025-11-26,2025,0.0016380236305049,150.0
2025-11-27,2025,0.0275953280966549,28.0
2025-11-28,2025,0.0275953280966549,-68.0
2025-12-01,2025,0.0182173677360255,-255.0
2025-12-03,2025,0.0183661347505104,-44.0
2025-12-04,2025,0.0183286313530932,-41.0
2025-12-08,2025,0.0109299234891497,237.0
2025-12-09,2025,0.0110187474982317,-129.0
2025-12-11,2025,0.0128829937158443,-508.0
2025-12-19,2025,0.0251399860499363,-6.0
2025-12-22,2025,0.0297568487811843,-144.0
2025-12-23,2025,0.0109934110276503,28.0
2025-12-24,2025,0.0054537286738496,-106.0
2025-12-26,2025,0.0027600932001212,88.0
2025-12-29,2025,0.0004538911799367,202.0
2026-01-02,2026,-0.0119917423386478,-427.0
2026-01-05,2026,0.0401432699950445,-129.0
2026-01-06,2026,0.0107200979440702,327.0
2026-01-07,2026,0.0274600648631226,-27.0
2026-01-09,2026,-0.0183197863461682,-12.0
2026-01-12,2026,0.0272562230201314,-79.0
2026-01-13,2026,0.0047206491088891,-206.0
2026-01-14,2026,0.0095311433202516,-16.0
2026-01-16,2026,0.0176368926971084,93.0
2026-01-19,2026,0.0114975820754597,406.0
2026-01-20,2026,0.0114975820754597,175.0
2026-01-21,2026,-0.0168049842256172,-46.0
2026-01-22,2026,0.0318031764686259,53.0
2026-01-23,2026,0.001628933844147,151.0
2026-01-26,2026,-0.0120717501927333,-8.0
2026-01-28,2026,0.0239862546423381,-198.0
2026-01-29,2026,0.0233529378429453,2.0
2026-01-30,2026,0.0016432439199973,-201.0
2026-02-03,2026,0.0170057523501367,-93.0
2026-02-09,2026,0.0569928453610413,-30.0
2026-02-10,2026,0.0141589489875282,403.0
2026-02-23,2026,0.0106590973046383,-213.0
2026-02-25,2026,0.0144738027579121,238.0
2026-02-26,2026,0.0162127325577208,70.0
2026-03-02,2026,-0.0120637871679073,-506.0
2026-03-03,2026,0.0048145491006215,-676.0
2026-03-05,2026,0.0192662346359504,-261.0
2026-03-06,2026,-0.0117152358714658,-343.0
2026-03-10,2026,0.0393440092405059,514.0
2026-03-11,2026,0.0070060432244187,655.0
2026-03-12,2026,0.0062872530870476,-146.0
2026-03-16,2026,0.0004540001072854,-162.0
2026-03-17,2026,0.0195641484364372,175.0
2026-03-18,2026,0.0052063558843751,209.0
2026-03-20,2026,0.0087452037361788,-225.0
2026-03-24,2026,0.0133652995003006,-520.0
2026-03-25,2026,0.0128107982241387,-163.0
2026-03-26,2026,0.0120720819133437,-393.0
2026-03-30,2026,-0.0168998414156846,-451.0
2026-04-01,2026,0.0624264070688416,-191.0
2026-04-02,2026,0.0282161777496641,430.0
